"integration_cluster","cell_type","sample_type","cell_count","cluster_total_cells","pct_within_cluster","cluster_celltype_total","pct_within_cluster_celltype"
9,"cDC1","T",3,182,1.64835164835165,3,100
9,"cDC2","T",2,182,1.0989010989011,2,100
9,"Effector/Memory CD4+ T cells","N",1,182,0.549450549450549,1,100
9,"Effector/Memory CD8+ T cells","T",6,182,3.2967032967033,6,100
9,"Exhausted CD8+ T cells","T",65,182,35.7142857142857,65,100
9,"Macrophage","T",12,182,6.59340659340659,12,100
9,"Macrophage or Dendritic Cell","T",1,182,0.549450549450549,1,100
9,"Natural killer cell","T",2,182,1.0989010989011,5,40
9,"Natural killer cell","N",3,182,1.64835164835165,5,60
9,"Phagocytosis Macrophage","T",5,182,2.74725274725275,5,100
9,"Pro-angiogenesis Macrophage","T",1,182,0.549450549450549,32,3.125
9,"Pro-angiogenesis Macrophage","N",31,182,17.032967032967,32,96.875
9,"T regulatory cells","T",9,182,4.94505494505495,9,100
9,"Tfh/Th1 helper CD4+ T cells","T",5,182,2.74725274725275,5,100
