cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X120786785618654.T,X120786785618654_Y_.T,12,X120786785618654.T,Endothelial Cells,T
X120786785876707.T,X120786785876707_Y_.T,5,X120786785876707.T,B Cell,T
X120786786040749.N,X120786786040749_X_.N,0,X120786786040749.N,Blood Cell,N
X120786786048244.T,X120786786048244_Y_.T,1,X120786786048244.T,Exhausted CD8+ T cells,T
X120786804128694.T,X120786804128694_Y_.T,1,X120786804128694.T,CD4 or CD8 T cell,T
X120786804227508.T,X120786804227508_Y_.T,4,X120786804227508.T,CD4 or CD8 T cell,T
X120786805017438.T,X120786805017438_Y_.T,5,X120786805017438.T,B Cell,T
X120797898096028.N,X120797898096028_X_.N,0,X120797898096028.N,Effector/Memory CD4+ T cells,N
X120797898139947.N,X120797898139947_X_.N,6,X120797898139947.N,Natural killer cell,N
X120797898357173.N,X120797898357173_X_.N,2,X120797898357173.N,Pro-angiogenesis Macrophage,N
X120797898402614.N,X120797898402614_X_.N,1,X120797898402614.N,CD4 or CD8 T cell,N
X120797898422494.N,X120797898422494_X_.N,2,X120797898422494.N,Pro-angiogenesis Macrophage,N
X120797898622835.T,X120797898622835_Y_.T,5,X120797898622835.T,B Cell,T
X120797898861797.N,X120797898861797_X_.N,2,X120797898861797.N,Pro-angiogenesis Macrophage,N
X120797912742252.T,X120797912742252_Y_.T,8,X120797912742252.T,Pancreatic Cancer Cell,T
X120797912808885.N,X120797912808885_X_.N,4,X120797912808885.N,Pro-angiogenesis Macrophage,N
X120797912844654.N,X120797912844654_X_.N,2,X120797912844654.N,Phagocytosis Macrophage,N
X120797912849835.T,X120797912849835_Y_.T,7,X120797912849835.T,Pro-angiogenesis Macrophage,T
X120797913299174.T,X120797913299174_Y_.T,1,X120797913299174.T,Exhausted CD8+ T cells,T
X120797913574771.T,X120797913574771_Y_.T,5,X120797913574771.T,B Cell,T
X120797925435806.N,X120797925435806_X_.N,1,X120797925435806.N,Effector/Memory CD8+ T cells,N
X120797925685038.T,X120797925685038_Y_.T,1,X120797925685038.T,Exhausted CD8+ T cells,T
X120797925690078.T,X120797925690078_Y_.T,9,X120797925690078.T,Exhausted CD8+ T cells,T
