cell_clean,cell.x,integration_cluster,cell.y,cell_type,sample_type
X157477590125478.N,X157477590125478_X_.N,2,X157477590125478.N,Pro-angiogenesis Macrophage,N
X157477590222638.N,X157477590222638_X_.N,0,X157477590222638.N,Effector/Memory CD4+ T cells,N
X157477605071284.N,X157477605071284_X_.N,2,X157477605071284.N,Pro-angiogenesis Macrophage,N
X157477605330332.N,X157477605330332_X_.N,3,X157477605330332.N,Pro-angiogenesis Macrophage,N
X157477605403869.N,X157477605403869_X_.N,4,X157477605403869.N,Pro-angiogenesis Macrophage,N
X157477617232286.T,X157477617232286_Y_.T,4,X157477617232286.T,Macrophage,T
X157477617752358.N,X157477617752358_X_.N,3,X157477617752358.N,Pro-angiogenesis Macrophage,N
X157477617752358.T,X157477617752358_Y_.T,0,X157477617752358.T,Tfh/Th1 helper CD4+ T cells,T
X157477636008756.T,X157477636008756_Y_.T,1,X157477636008756.T,Effector/Memory CD8+ T cells,T
X157477636594972.N,X157477636594972_X_.N,1,X157477636594972.N,Effector/Memory CD4+ T cells,N
X157486582459614.T,X157486582459614_Y_.T,5,X157486582459614.T,B Cell,T
X157486582512548.T,X157486582512548_Y_.T,6,X157486582512548.T,Natural killer cell,T
X157486582544748.T,X157486582544748_Y_.T,4,X157486582544748.T,Phagocytosis Macrophage,T
X157486582721309.N,X157486582721309_X_.N,9,X157486582721309.N,Pro-angiogenesis Macrophage,N
X157486582786870.N,X157486582786870_X_.N,3,X157486582786870.N,Pro-angiogenesis Macrophage,N
X157486582815132.T,X157486582815132_Y_.T,4,X157486582815132.T,Macrophage,T
X157486583049116.N,X157486583049116_X_.N,3,X157486583049116.N,Pro-angiogenesis Macrophage,N
X157486583310579.T,X157486583310579_Y_.T,0,X157486583310579.T,CD4+ T cell,T
X157486597166965.N,X157486597166965_X_.N,2,X157486597166965.N,Pro-angiogenesis Macrophage,N
X157486597172588.T,X157486597172588_Y_.T,4,X157486597172588.T,CD4 or CD8 T cell,T
X157486597199798.N,X157486597199798_X_.N,2,X157486597199798.N,Pro-angiogenesis Macrophage,N
X157486597455211.N,X157486597455211_X_.N,0,X157486597455211.N,Blood Cell,N
X157486597491500.T,X157486597491500_Y_.T,5,X157486597491500.T,B Cell,T
X157486597748979.N,X157486597748979_X_.N,1,X157486597748979.N,Effector/Memory CD4+ T cells,N
X157486597752683.T,X157486597752683_Y_.T,5,X157486597752683.T,B Cell,T
X157486597917086.T,X157486597917086_Y_.T,4,X157486597917086.T,B Cell,T
X157486597983580.N,X157486597983580_X_.N,3,X157486597983580.N,Pro-angiogenesis Macrophage,N
X157486609716958.T,X157486609716958_Y_.T,9,X157486609716958.T,Exhausted CD8+ T cells,T
X157486609779102.T,X157486609779102_Y_.T,1,X157486609779102.T,CD8+ T cell,T
X157486610005342.T,X157486610005342_Y_.T,10,X157486610005342.T,CAFmyo,T
X157486610073524.N,X157486610073524_X_.N,0,X157486610073524.N,Effector/Memory CD4+ T cells,N
X157486610073524.T,X157486610073524_Y_.T,9,X157486610073524.T,B Cell,T
X157486610299189.N,X157486610299189_X_.N,0,X157486610299189.N,Effector/Memory CD4+ T cells,N
X157486628588902.N,X157486628588902_X_.N,1,X157486628588902.N,Effector/Memory CD4+ T cells,N
X157486628620651.N,X157486628620651_X_.N,3,X157486628620651.N,Pro-angiogenesis Macrophage,N
X157486629411227.N,X157486629411227_X_.N,15,X157486629411227.N,pDC,N
X157486629468406.T,X157486629468406_Y_.T,10,X157486629468406.T,CAFinfla,T
X157536914094430.N,X157536914094430_X_.N,3,X157536914094430.N,Pro-angiogenesis Macrophage,N
X157536914159461.T,X157536914159461_Y_.T,5,X157536914159461.T,B Cell,T
X157536914394405.T,X157536914394405_Y_.T,0,X157536914394405.T,CD4+ T cell,T
X157536914467556.T,X157536914467556_Y_.T,0,X157536914467556.T,Effector/Memory CD8+ T cells,T
X157536914687835.N,X157536914687835_X_.N,0,X157536914687835.N,Effector/Memory CD8+ T cells,N
X157536928820150.N,X157536928820150_X_.N,2,X157536928820150.N,Pro-angiogenesis Macrophage,N
X157536928840115.N,X157536928840115_X_.N,6,X157536928840115.N,Natural killer cell,N
X157536928845043.N,X157536928845043_X_.N,3,X157536928845043.N,Pro-angiogenesis Macrophage,N
X157536941370270.T,X157536941370270_Y_.T,1,X157536941370270.T,CD8+ T cell,T
X157536941469029.T,X157536941469029_Y_.T,5,X157536941469029.T,B Cell,T
X157536941914861.N,X157536941914861_X_.N,8,X157536941914861.N,Lung Cancer Cell,N
X157536961023275.T,X157536961023275_Y_.T,4,X157536961023275.T,CD4 or CD8 T cell,T
X157537719499677.T,X157537719499677_Y_.T,4,X157537719499677.T,Macrophage,T
X157537719958317.T,X157537719958317_Y_.T,4,X157537719958317.T,Macrophage,T
X157537720035619.T,X157537720035619_Y_.T,5,X157537720035619.T,B Cell,T
X157537720253726.T,X157537720253726_Y_.T,0,X157537720253726.T,CD4+ T cell,T
X157537734184310.T,X157537734184310_Y_.T,6,X157537734184310.T,Effector/Memory CD8+ T cells,T
X157537734880499.T,X157537734880499_Y_.T,11,X157537734880499.T,cDC2,T
X157537734932342.T,X157537734932342_Y_.T,5,X157537734932342.T,B Cell,T
X157537746700637.N,X157537746700637_X_.N,0,X157537746700637.N,Effector/Memory CD4+ T cells,N
X157537747028316.T,X157537747028316_Y_.T,1,X157537747028316.T,Effector/Memory CD8+ T cells,T
X157537747252980.N,X157537747252980_X_.N,2,X157537747252980.N,Macrophage,N
X157537747454894.N,X157537747454894_X_.N,2,X157537747454894.N,Pro-angiogenesis Macrophage,N
X157537747556198.N,X157537747556198_X_.N,4,X157537747556198.N,Pro-angiogenesis Macrophage,N
X157537747556779.N,X157537747556779_X_.N,2,X157537747556779.N,Pro-angiogenesis Macrophage,N
X157537765899182.N,X157537765899182_X_.N,6,X157537765899182.N,Natural killer cell,N
X157537766061877.N,X157537766061877_X_.N,2,X157537766061877.N,Pro-angiogenesis Macrophage,N
X157537766131437.N,X157537766131437_X_.N,3,X157537766131437.N,Pro-angiogenesis Macrophage,N
X157537766135604.N,X157537766135604_X_.N,3,X157537766135604.N,Pro-angiogenesis Macrophage,N
X157537766173028.N,X157537766173028_X_.N,6,X157537766173028.N,Natural killer cell,N
X157537766427486.T,X157537766427486_Y_.T,0,X157537766427486.T,CD4+ T cell,T
X157562549680493.N,X157562549680493_X_.N,4,X157562549680493.N,Effector/Memory CD8+ T cells,N
X157562549955486.T,X157562549955486_Y_.T,2,X157562549955486.T,Phagocytosis Macrophage,T
X157562550209381.N,X157562550209381_X_.N,6,X157562550209381.N,Natural killer cell,N
X157562550467508.N,X157562550467508_X_.N,3,X157562550467508.N,Pro-angiogenesis Macrophage,N
X157562564396982.N,X157562564396982_X_.N,6,X157562564396982.N,Natural killer cell,N
X157562564885916.N,X157562564885916_X_.N,7,X157562564885916.N,Macrophage,N
X157562564918187.T,X157562564918187_Y_.T,0,X157562564918187.T,Effector/Memory CD4+ T cells,T
X157562565187997.T,X157562565187997_Y_.T,0,X157562565187997.T,CD4+ T cell,T
X157562576948068.T,X157562576948068_Y_.T,0,X157562576948068.T,Effector/Memory CD4+ T cells,T
X157562577565598.N,X157562577565598_X_.N,7,X157562577565598.N,Macrophage,N
X157562577739173.N,X157562577739173_X_.N,14,X157562577739173.N,Mast cell,N
X157562577776037.T,X157562577776037_Y_.T,0,X157562577776037.T,T regulatory cells,T
X157562596382557.T,X157562596382557_Y_.T,0,X157562596382557.T,T regulatory cells,T
X157613955169181.T,X157613955169181_Y_.T,1,X157613955169181.T,CD4 or CD8 T cell,T
X157613955405604.N,X157613955405604_X_.N,3,X157613955405604.N,Pro-angiogenesis Macrophage,N
X157613955443563.T,X157613955443563_Y_.T,0,X157613955443563.T,Effector/Memory CD8+ T cells,T
X157613955704667.T,X157613955704667_Y_.T,4,X157613955704667.T,Blood Cell,T
X157613955893598.N,X157613955893598_X_.N,4,X157613955893598.N,Naive CD4+ T cells,N
X157613955956011.T,X157613955956011_Y_.T,4,X157613955956011.T,Macrophage,T
X157613969791211.T,X157613969791211_Y_.T,5,X157613969791211.T,B Cell,T
X157613970307811.T,X157613970307811_Y_.T,2,X157613970307811.T,Phagocytosis Macrophage,T
X157613970377563.N,X157613970377563_X_.N,13,X157613970377563.N,Lung Cancer Cell,N
X157613982672619.N,X157613982672619_X_.N,13,X157613982672619.N,Lung Cancer Cell,N
X157613982899045.T,X157613982899045_Y_.T,0,X157613982899045.T,T regulatory cells,T
X157613982927148.N,X157613982927148_X_.N,4,X157613982927148.N,Phagocytosis Macrophage,N
X157614002092278.T,X157614002092278_Y_.T,5,X157614002092278.T,B Cell,T
X157684150949662.N,X157684150949662_X_.N,2,X157684150949662.N,Pro-angiogenesis Macrophage,N
X157684151049437.N,X157684151049437_X_.N,2,X157684151049437.N,Pro-angiogenesis Macrophage,N
X157684151302366.N,X157684151302366_X_.N,0,X157684151302366.N,Effector/Memory CD4+ T cells,N
X157684151564661.N,X157684151564661_X_.N,10,X157684151564661.N,Normal Fibroblast,N
X157684151568238.T,X157684151568238_Y_.T,1,X157684151568238.T,Effector/Memory CD8+ T cells,T
X157684165629867.T,X157684165629867_Y_.T,5,X157684165629867.T,B Cell,T
X157684165667612.N,X157684165667612_X_.N,2,X157684165667612.N,Pro-angiogenesis Macrophage,N
X157684165929246.T,X157684165929246_Y_.T,5,X157684165929246.T,B Cell,T
X157684166413172.T,X157684166413172_Y_.T,9,X157684166413172.T,Macrophage,T
X157684166485731.N,X157684166485731_X_.N,0,X157684166485731.N,Effector/Memory CD4+ T cells,N
X157684178769766.N,X157684178769766_X_.N,1,X157684178769766.N,Effector/Memory CD4+ T cells,N
X157684179004126.N,X157684179004126_X_.N,7,X157684179004126.N,Pro-angiogenesis Macrophage,N
X157684179070237.T,X157684179070237_Y_.T,2,X157684179070237.T,Macrophage,T
X157684197083573.N,X157684197083573_X_.N,0,X157684197083573.N,Effector/Memory CD4+ T cells,N
X157684197087603.T,X157684197087603_Y_.T,2,X157684197087603.T,Phagocytosis Macrophage,T
X157684197190572.N,X157684197190572_X_.N,0,X157684197190572.N,Effector/Memory CD4+ T cells,N
X157684197349811.N,X157684197349811_X_.N,1,X157684197349811.N,Effector/Memory CD4+ T cells,N
X157684197449014.T,X157684197449014_Y_.T,15,X157684197449014.T,pDC,T
X157684197670238.T,X157684197670238_Y_.T,0,X157684197670238.T,CD4+ T cell,T
X157684197702364.T,X157684197702364_Y_.T,5,X157684197702364.T,B Cell,T
X157690324965734.N,X157690324965734_X_.N,2,X157690324965734.N,Pro-angiogenesis Macrophage,N
X157690325030748.T,X157690325030748_Y_.T,1,X157690325030748.T,Exhausted CD8+ T cells,T
X157690325321966.T,X157690325321966_Y_.T,7,X157690325321966.T,Macrophage,T
X157690325547765.T,X157690325547765_Y_.T,5,X157690325547765.T,B Cell,T
X157690325743412.T,X157690325743412_Y_.T,5,X157690325743412.T,B Cell,T
X157690325784940.N,X157690325784940_X_.N,8,X157690325784940.N,Normal Fibroblast,N
X157690325842203.N,X157690325842203_X_.N,3,X157690325842203.N,Pro-angiogenesis Macrophage,N
X157690339736990.N,X157690339736990_X_.N,12,X157690339736990.N,Endothelial Cells,N
X157690339909019.N,X157690339909019_X_.N,6,X157690339909019.N,Natural killer cell,N
X157690340428726.T,X157690340428726_Y_.T,5,X157690340428726.T,B Cell,T
X157690352557292.N,X157690352557292_X_.N,3,X157690352557292.N,Pro-angiogenesis Macrophage,N
X157690353109742.N,X157690353109742_X_.N,1,X157690353109742.N,Effector/Memory CD4+ T cells,N
X157690371099507.N,X157690371099507_X_.N,1,X157690371099507.N,Effector/Memory CD8+ T cells,N
X157690371107636.N,X157690371107636_X_.N,3,X157690371107636.N,Pro-angiogenesis Macrophage,N
X157690371193692.N,X157690371193692_X_.N,2,X157690371193692.N,Pro-angiogenesis Macrophage,N
X157690371950876.N,X157690371950876_X_.N,2,X157690371950876.N,Pro-angiogenesis Macrophage,N
X160440043560363.N,X160440043560363_X_.N,2,X160440043560363.N,Pro-angiogenesis Macrophage,N
X160440043584237.T,X160440043584237_Y_.T,12,X160440043584237.T,Endothelial Cells,T
X160440043628892.N,X160440043628892_X_.N,3,X160440043628892.N,Pro-angiogenesis Macrophage,N
X160440043652852.N,X160440043652852_X_.N,3,X160440043652852.N,Macrophage,N
X160440043825590.N,X160440043825590_X_.N,4,X160440043825590.N,Macrophage,N
X160440043886372.N,X160440043886372_X_.N,0,X160440043886372.N,Effector/Memory CD4+ T cells,N
X160440044087140.N,X160440044087140_X_.N,1,X160440044087140.N,CD4 or CD8 T cell,N
X160440044088621.N,X160440044088621_X_.N,4,X160440044088621.N,Pro-angiogenesis Macrophage,N
X160440044178675.T,X160440044178675_Y_.T,0,X160440044178675.T,CD4+ T cell,T
X160440044377885.T,X160440044377885_Y_.T,5,X160440044377885.T,Exhausted CD8+ T cells,T
X160440044415204.T,X160440044415204_Y_.T,4,X160440044415204.T,Phagocytosis Macrophage,T
X160440070850909.T,X160440070850909_Y_.T,0,X160440070850909.T,CD4+ T cell,T
X160440071150877.N,X160440071150877_X_.N,0,X160440071150877.N,Effector/Memory CD4+ T cells,N
X160440071383900.T,X160440071383900_Y_.T,0,X160440071383900.T,CD4+ T cell,T
X160440089693542.T,X160440089693542_Y_.T,5,X160440089693542.T,B Cell,T
X160440089767140.N,X160440089767140_X_.N,4,X160440089767140.N,Macrophage,N
X160440089992107.N,X160440089992107_X_.N,3,X160440089992107.N,Pro-angiogenesis Macrophage,N
X160440090024349.N,X160440090024349_X_.N,0,X160440090024349.N,CD4 or CD8 T cell,N
X160440090216877.T,X160440090216877_Y_.T,2,X160440090216877.T,Phagocytosis Macrophage,T
X160440090221355.N,X160440090221355_X_.N,0,X160440090221355.N,Natural killer cell,N
X160447828223774.N,X160447828223774_X_.N,8,X160447828223774.N,Lung Cancer Cell,N
X160447828445101.N,X160447828445101_X_.N,1,X160447828445101.N,CD8 T or NK cell,N
X160447828511005.T,X160447828511005_Y_.T,5,X160447828511005.T,B Cell,T
X160447828543348.T,X160447828543348_Y_.T,5,X160447828543348.T,B Cell,T
X160447828977454.N,X160447828977454_X_.N,6,X160447828977454.N,Natural killer cell,N
X160447842932662.N,X160447842932662_X_.N,1,X160447842932662.N,CD8 T or NK cell,N
X160447842934068.T,X160447842934068_Y_.T,5,X160447842934068.T,B Cell,T
X160447843121590.N,X160447843121590_X_.N,0,X160447843121590.N,Effector/Memory CD4+ T cells,N
X160447843395827.T,X160447843395827_Y_.T,0,X160447843395827.T,Effector/Memory CD8+ T cells,T
X160447843724509.T,X160447843724509_Y_.T,5,X160447843724509.T,B Cell,T
X160447843748261.T,X160447843748261_Y_.T,1,X160447843748261.T,Exhausted CD8+ T cells,T
X160447855548140.N,X160447855548140_X_.N,0,X160447855548140.N,Effector/Memory CD4+ T cells,N
X160447855814900.N,X160447855814900_X_.N,8,X160447855814900.N,Normal Fibroblast,N
X160447856012211.N,X160447856012211_X_.N,6,X160447856012211.N,Natural killer cell,N
X160447856265054.T,X160447856265054_Y_.T,1,X160447856265054.T,Exhausted CD8+ T cells,T
X160447856331502.N,X160447856331502_X_.N,2,X160447856331502.N,Pro-angiogenesis Macrophage,N
X160447874649437.T,X160447874649437_Y_.T,5,X160447874649437.T,B Cell,T
X160447874657067.T,X160447874657067_Y_.T,0,X160447874657067.T,CD4+ T cell,T
X160447875110748.N,X160447875110748_X_.N,2,X160447875110748.N,Pro-angiogenesis Macrophage,N
X160785117402870.N,X160785117402870_X_.N,9,X160785117402870.N,Pro-angiogenesis Macrophage,N
X160785117403510.N,X160785117403510_X_.N,2,X160785117403510.N,Pro-angiogenesis Macrophage,N
X160785117592492.N,X160785117592492_X_.N,5,X160785117592492.N,Pro-angiogenesis Macrophage,N
X160785117703019.N,X160785117703019_X_.N,2,X160785117703019.N,Pro-angiogenesis Macrophage,N
X160785132574508.T,X160785132574508_Y_.T,5,X160785132574508.T,B Cell,T
X160785132800749.N,X160785132800749_X_.N,9,X160785132800749.N,Pro-angiogenesis Macrophage,N
X160785132832541.T,X160785132832541_Y_.T,5,X160785132832541.T,B Cell,T
X160785163737843.N,X160785163737843_X_.N,6,X160785163737843.N,Natural killer cell,N
X160785164291446.N,X160785164291446_X_.N,4,X160785164291446.N,Pro-angiogenesis Macrophage,N
X160903094724462.N,X160903094724462_X_.N,0,X160903094724462.N,Effector/Memory CD4+ T cells,N
X160903094782699.T,X160903094782699_Y_.T,4,X160903094782699.T,Macrophage,T
X160903094978477.T,X160903094978477_Y_.T,1,X160903094978477.T,T regulatory cells,T
X160903095012717.N,X160903095012717_X_.N,0,X160903095012717.N,Effector/Memory CD4+ T cells,N
X160903095019942.N,X160903095019942_X_.N,0,X160903095019942.N,Blood Cell,N
X160903095039846.T,X160903095039846_Y_.T,0,X160903095039846.T,CD4+ T cell,T
X160903095045019.N,X160903095045019_X_.N,3,X160903095045019.N,Pro-angiogenesis Macrophage,N
X160903095053540.T,X160903095053540_Y_.T,5,X160903095053540.T,B Cell,T
X160903095086437.T,X160903095086437_Y_.T,4,X160903095086437.T,Macrophage,T
X160903095269732.T,X160903095269732_Y_.T,0,X160903095269732.T,Tfh/Th1 helper CD4+ T cells,T
X160903095307100.T,X160903095307100_Y_.T,0,X160903095307100.T,CD4+ T cell,T
X160903095347428.N,X160903095347428_X_.N,3,X160903095347428.N,Pro-angiogenesis Macrophage,N
X160903095539956.N,X160903095539956_X_.N,1,X160903095539956.N,Effector/Memory CD8+ T cells,N
X160903109752676.N,X160903109752676_X_.N,0,X160903109752676.N,Effector/Memory CD4+ T cells,N
X160903109925091.N,X160903109925091_X_.N,4,X160903109925091.N,Pro-angiogenesis Macrophage,N
X160903110019372.N,X160903110019372_X_.N,0,X160903110019372.N,Effector/Memory CD4+ T cells,N
X160903110220189.T,X160903110220189_Y_.T,0,X160903110220189.T,CD4+ T cell,T
X160903122048733.N,X160903122048733_X_.N,0,X160903122048733.N,Effector/Memory CD4+ T cells,N
X160903122048876.N,X160903122048876_X_.N,6,X160903122048876.N,Natural killer cell,N
X160903122086196.T,X160903122086196_Y_.T,5,X160903122086196.T,B Cell,T
X160903140862772.T,X160903140862772_Y_.T,0,X160903140862772.T,Effector/Memory CD8+ T cells,T
X160903140895669.N,X160903140895669_X_.N,1,X160903140895669.N,Effector/Memory CD8+ T cells,N
X160903141178598.T,X160903141178598_Y_.T,6,X160903141178598.T,Natural killer cell,T
X160903141386597.N,X160903141386597_X_.N,2,X160903141386597.N,Pro-angiogenesis Macrophage,N
X160903141673910.N,X160903141673910_X_.N,6,X160903141673910.N,Natural killer cell,N
X160910610909619.N,X160910610909619_X_.N,9,X160910610909619.N,Pro-angiogenesis Macrophage,N
X160910610971941.N,X160910610971941_X_.N,0,X160910610971941.N,Effector/Memory CD4+ T cells,N
X160910610983260.N,X160910610983260_X_.N,6,X160910610983260.N,Natural killer cell,N
X160910611269422.T,X160910611269422_Y_.T,0,X160910611269422.T,Effector/Memory CD4+ T cells,T
X160910611732253.T,X160910611732253_Y_.T,5,X160910611732253.T,B Cell,T
X160910625881334.T,X160910625881334_Y_.T,0,X160910625881334.T,CD4+ T cell,T
X160910625885603.T,X160910625885603_Y_.T,2,X160910625885603.T,Macrophage,T
X160910625950508.N,X160910625950508_X_.N,3,X160910625950508.N,Pro-angiogenesis Macrophage,N
X160910626412957.N,X160910626412957_X_.N,7,X160910626412957.N,Macrophage,N
X160910626436838.T,X160910626436838_Y_.T,0,X160910626436838.T,CD4+ T cell,T
X160910626475379.N,X160910626475379_X_.N,1,X160910626475379.N,Effector/Memory CD4+ T cells,N
X160910638991198.T,X160910638991198_Y_.T,9,X160910638991198.T,Tfh/Th1 helper CD4+ T cells,T
X160910639020915.T,X160910639020915_Y_.T,4,X160910639020915.T,Phagocytosis Macrophage,T
X160910639064883.T,X160910639064883_Y_.T,1,X160910639064883.T,Exhausted CD8+ T cells,T
X160910657113374.N,X160910657113374_X_.N,0,X160910657113374.N,Naive CD4+ T cells,N
X160910657313582.T,X160910657313582_Y_.T,4,X160910657313582.T,Macrophage,T
X160928730367797.T,X160928730367797_Y_.T,4,X160928730367797.T,Blood Cell,T
X160928730835678.T,X160928730835678_Y_.T,0,X160928730835678.T,CD4+ T cell,T
X160928731097371.N,X160928731097371_X_.N,6,X160928731097371.N,Natural killer cell,N
X160928745088947.T,X160928745088947_Y_.T,0,X160928745088947.T,CD4+ T cell,T
X160928745352502.N,X160928745352502_X_.N,0,X160928745352502.N,Effector/Memory CD4+ T cells,N
X160928745545051.N,X160928745545051_X_.N,2,X160928745545051.N,Pro-angiogenesis Macrophage,N
X160928745580956.N,X160928745580956_X_.N,2,X160928745580956.N,Pro-angiogenesis Macrophage,N
X160928745834227.N,X160928745834227_X_.N,3,X160928745834227.N,Pro-angiogenesis Macrophage,N
X160928757640435.N,X160928757640435_X_.N,8,X160928757640435.N,Lung Cancer Cell,N
X160928757660454.T,X160928757660454_Y_.T,4,X160928757660454.T,Macrophage,T
X160928757860149.T,X160928757860149_Y_.T,5,X160928757860149.T,B Cell,T
X160928758348717.N,X160928758348717_X_.N,1,X160928758348717.N,Effector/Memory CD8+ T cells,N
X160928758352619.T,X160928758352619_Y_.T,0,X160928758352619.T,CD8 T or NK cell,T
X160928758360310.T,X160928758360310_Y_.T,2,X160928758360310.T,Phagocytosis Macrophage,T
X160928758413148.T,X160928758413148_Y_.T,0,X160928758413148.T,CD4 or CD8 T cell,T
X160928758454699.N,X160928758454699_X_.N,2,X160928758454699.N,Pro-angiogenesis Macrophage,N
X160928776538868.N,X160928776538868_X_.N,6,X160928776538868.N,Natural killer cell,N
X160928776709941.N,X160928776709941_X_.N,4,X160928776709941.N,Blood Cell,N
X160990067866028.N,X160990067866028_X_.N,3,X160990067866028.N,Pro-angiogenesis Macrophage,N
X160990068074358.N,X160990068074358_X_.N,0,X160990068074358.N,CD4 or CD8 T cell,N
X160990068075422.T,X160990068075422_Y_.T,1,X160990068075422.T,Exhausted CD8+ T cells,T
X160990068099892.N,X160990068099892_X_.N,0,X160990068099892.N,Blood Cell,N
X160990068165350.T,X160990068165350_Y_.T,0,X160990068165350.T,T regulatory cells,T
X160990068620075.N,X160990068620075_X_.N,4,X160990068620075.N,Pro-angiogenesis Macrophage,N
X160990082493214.N,X160990082493214_X_.N,6,X160990082493214.N,Natural killer cell,N
X160990082549677.N,X160990082549677_X_.N,0,X160990082549677.N,T regulatory cells,N
X160990082754989.T,X160990082754989_Y_.T,1,X160990082754989.T,Exhausted CD8+ T cells,T
X160990082780590.T,X160990082780590_Y_.T,5,X160990082780590.T,B Cell,T
X160990082784692.N,X160990082784692_X_.N,0,X160990082784692.N,Blood Cell,N
X160990082816796.T,X160990082816796_Y_.T,0,X160990082816796.T,Effector/Memory CD8+ T cells,T
X160990083081974.T,X160990083081974_Y_.T,1,X160990083081974.T,CD8+ T cell,T
X160990083333413.N,X160990083333413_X_.N,3,X160990083333413.N,Pro-angiogenesis Macrophage,N
X160990083369691.N,X160990083369691_X_.N,7,X160990083369691.N,Pro-inflammatory Macrophage,N
X160990095691108.N,X160990095691108_X_.N,8,X160990095691108.N,Stromal Cell,N
X160990095862195.N,X160990095862195_X_.N,0,X160990095862195.N,Naive CD4+ T cells,N
X160990113949603.T,X160990113949603_Y_.T,1,X160990113949603.T,Exhausted CD8+ T cells,T
X160990114270557.N,X160990114270557_X_.N,0,X160990114270557.N,Naive CD4+ T cells,N
X160990114463155.T,X160990114463155_Y_.T,8,X160990114463155.T,Any Cell,T
X160990114526964.N,X160990114526964_X_.N,2,X160990114526964.N,Pro-angiogenesis Macrophage,N
X160990114539868.T,X160990114539868_Y_.T,0,X160990114539868.T,T regulatory cells,T
X160990114766260.T,X160990114766260_Y_.T,1,X160990114766260.T,Exhausted CD8+ T cells,T
X160990114826163.N,X160990114826163_X_.N,1,X160990114826163.N,Effector/Memory CD4+ T cells,N
X160996510295782.N,X160996510295782_X_.N,2,X160996510295782.N,Pro-angiogenesis Macrophage,N
X160996510295782.T,X160996510295782_Y_.T,0,X160996510295782.T,CD4+ T cell,T
X160996510320371.T,X160996510320371_Y_.T,10,X160996510320371.T,CAFinfla,T
X160996510559517.T,X160996510559517_Y_.T,1,X160996510559517.T,Exhausted CD8+ T cells,T
X160996510580147.T,X160996510580147_Y_.T,0,X160996510580147.T,Effector/Memory CD8+ T cells,T
X160996510820726.N,X160996510820726_X_.N,2,X160996510820726.N,Macrophage,N
X160996524976924.N,X160996524976924_X_.N,2,X160996524976924.N,Pro-angiogenesis Macrophage,N
X160996525197172.N,X160996525197172_X_.N,0,X160996525197172.N,Effector/Memory CD8+ T cells,N
X160996525272484.N,X160996525272484_X_.N,3,X160996525272484.N,Pro-angiogenesis Macrophage,N
X160996525292395.N,X160996525292395_X_.N,3,X160996525292395.N,Pro-angiogenesis Macrophage,N
X160996525492142.N,X160996525492142_X_.N,3,X160996525492142.N,Pro-angiogenesis Macrophage,N
X160996537559796.T,X160996537559796_Y_.T,1,X160996537559796.T,CD8+ T cell,T
X160996537579245.T,X160996537579245_Y_.T,9,X160996537579245.T,T regulatory cells,T
X160996537613148.N,X160996537613148_X_.N,4,X160996537613148.N,Pro-angiogenesis Macrophage,N
X160996537788766.T,X160996537788766_Y_.T,1,X160996537788766.T,Exhausted CD8+ T cells,T
X160996537845477.T,X160996537845477_Y_.T,14,X160996537845477.T,Mast cell,T
X160996538342196.N,X160996538342196_X_.N,8,X160996538342196.N,Non Blood Cell,N
X160996556696301.N,X160996556696301_X_.N,2,X160996556696301.N,Pro-angiogenesis Macrophage,N
X161340107640238.T,X161340107640238_Y_.T,1,X161340107640238.T,Exhausted CD8+ T cells,T
X161340108461867.T,X161340108461867_Y_.T,5,X161340108461867.T,B Cell,T
X161340122320308.N,X161340122320308_X_.N,12,X161340122320308.N,Endothelial Cells,N
X161340122381172.N,X161340122381172_X_.N,3,X161340122381172.N,Pro-angiogenesis Macrophage,N
X161340122642851.T,X161340122642851_Y_.T,2,X161340122642851.T,Macrophage,T
X161340122937702.T,X161340122937702_Y_.T,1,X161340122937702.T,Exhausted CD8+ T cells,T
X161340135172532.N,X161340135172532_X_.N,3,X161340135172532.N,Pro-angiogenesis Macrophage,N
X161340153777510.N,X161340153777510_X_.N,2,X161340153777510.N,Pro-angiogenesis Macrophage,N
X161340154304861.N,X161340154304861_X_.N,0,X161340154304861.N,Effector/Memory CD4+ T cells,N
X161340154341739.T,X161340154341739_Y_.T,1,X161340154341739.T,CD8+ T cell,T
X161340154342323.N,X161340154342323_X_.N,3,X161340154342323.N,Pro-angiogenesis Macrophage,N
X161340154563883.T,X161340154563883_Y_.T,5,X161340154563883.T,B Cell,T
X161411780003572.N,X161411780003572_X_.N,2,X161411780003572.N,Pro-angiogenesis Macrophage,N
X161411780201894.N,X161411780201894_X_.N,2,X161411780201894.N,Pro-angiogenesis Macrophage,N
X161411780234037.N,X161411780234037_X_.N,2,X161411780234037.N,Pro-angiogenesis Macrophage,N
X161411780237092.T,X161411780237092_Y_.T,4,X161411780237092.T,Macrophage,T
X161411780238629.T,X161411780238629_Y_.T,1,X161411780238629.T,Exhausted CD8+ T cells,T
X161411795172707.N,X161411795172707_X_.N,2,X161411795172707.N,Pro-angiogenesis Macrophage,N
X161411795368181.T,X161411795368181_Y_.T,6,X161411795368181.T,Exhausted CD8+ T cells,T
X161411807688541.N,X161411807688541_X_.N,0,X161411807688541.N,T or NK Cell,N
X161411808053171.N,X161411808053171_X_.N,2,X161411808053171.N,Pro-angiogenesis Macrophage,N
X161411826072414.T,X161411826072414_Y_.T,0,X161411826072414.T,CD4+ T cell,T
X161411826309934.T,X161411826309934_Y_.T,2,X161411826309934.T,Phagocytosis Macrophage,T
